wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,close_dist
Point (28.10145400000004656 -15.54444699999993418),ZM201800000097,ZM,2018,97,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.544447,28.101454,662,1149,WGS84,8,479.4959884,7.265342067
Point (22.38172600000007151 -14.76748099999997521),ZM201800000098,ZM,2018,98,ZM,10,Western,10,Western,GPS,R,-14.767481,22.381726,1031,1034,WGS84,0,827.1703731,421.4302678
Point (28.4292580000000612 -12.98282399999993686),ZM201800000099,ZM,2018,99,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.982824,28.429258,1273,1304,WGS84,32,450.1737389,12.29692731
Point (28.24635800000004338 -12.87759399999993093),ZM201800000100,ZM,2018,100,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.877594,28.246358,940,1198,WGS84,40,449.7963853,4.51642874
Point (24.32035400000006575 -13.40411099999994349),ZM201800000101,ZM,2018,101,ZM,8,North Western,8,North Western,GPS,U,-13.404111,24.320354,990,1087,WGS84,0,655.7972884,166.0885801
Point (28.33788600000002589 -15.35323899999997366),ZM201800000102,ZM,2018,102,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.353239,28.337886,747,1248,WGS84,5,472.1594071,22.65942101
Point (23.82513700000004064 -14.7934339999999338),ZM201800000103,ZM,2018,103,ZM,10,Western,10,Western,GPS,R,-14.793434,23.825137,1084,1072,WGS84,0,703.2336911,324.1356851
Point (33.40342800000007628 -10.16422099999994089),ZM201800000104,ZM,2018,104,ZM,6,Muchinga,6,Muchinga,GPS,R,-10.164221,33.403428,829,1756,WGS84,3,810.1876032,34.71379406
Point (27.47068900000004987 -16.68365099999994072),ZM201800000105,ZM,2018,105,ZM,9,Southern,9,Southern,GPS,R,-16.683651,27.470689,1080,1018,WGS84,0,530.1797306,53.09985817
Point (27.51943200000005163 -17.07892599999996719),ZM201800000106,ZM,2018,106,ZM,9,Southern,9,Southern,GPS,R,-17.078926,27.519432,517,523,WGS84,2,543.2019002,18.19844383
Point (32.62918600000006109 -13.63572999999996682),ZM201800000107,ZM,2018,107,ZM,3,Eastern,3,Eastern,GPS,U,-13.63573,32.629186,1139,1138,WGS84,0,616.0510268,116.4987556
Point (26.89449200000007068 -17.82324899999997569),ZM201800000108,ZM,2018,108,ZM,9,Southern,9,Southern,GPS,R,-17.823249,26.894492,699,673,WGS84,1,600.9598286,13.76074332
Point (28.69682900000003656 -10.39434499999993022),ZM201800000109,ZM,2018,109,ZM,4,Luapula,4,Luapula,GPS,U,-10.394345,28.696829,973,976,WGS84,0,589.0976062,60.18046956
Point (26.54908300000005283 -16.25464999999996962),ZM201800000110,ZM,2018,110,ZM,9,Southern,9,Southern,GPS,R,-16.25465,26.549083,1170,1172,WGS84,0,554.7698894,132.237071
Point (27.36122400000004973 -17.49653999999998177),ZM201800000111,ZM,2018,111,ZM,9,Southern,9,Southern,GPS,R,-17.49654,27.361224,9999,494,WGS84,2,566.4662479,24.50981889
Point (26.34194400000006908 -12.15156799999994064),ZM201800000112,ZM,2018,112,ZM,8,North Western,8,North Western,GPS,R,-12.151568,26.341944,778,1377,WGS84,5,527.6492501,10.12737951
Point (28.39762900000005175 -14.45682699999997567),ZM201800000113,ZM,2018,113,ZM,1,Central,1,Central,GPS,U,-14.456827,28.397629,1177,1196,WGS84,2,457.6372856,4.247773551
Point (31.83050500000007332 -8.99638199999992594),ZM201800000114,ZM,2018,114,ZM,7,Northern,7,Northern,GPS,R,-8.996382,31.830505,9999,1582,WGS84,0,803.9184596,142.0736707
Point (28.21621700000002875 -13.44691999999997734),ZM201800000115,ZM,2018,115,ZM,2,Copperbelt,2,Copperbelt,GPS,R,-13.44692,28.216217,1189,1188,WGS84,5,449.9395458,40.39781885
Point (27.90536100000002762 -12.54573199999992994),ZM201800000116,ZM,2018,116,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.545732,27.905361,1392,1390,WGS84,46,458.7764746,4.080246671
Point (33.244824000000051 -12.47829499999994596),ZM201800000117,ZM,2018,117,ZM,3,Eastern,3,Eastern,GPS,R,-12.478295,33.244824,823,1197,WGS84,2,687.8926683,30.92162757
Point (28.9324447596389227 -9.07255166121510115),ZM201800000118,ZM,2018,118,ZM,4,Luapula,4,Luapula,GPS,R,-9.072551661,28.93244476,9999,925,WGS84,0,702.8609838,75.31477192
Point (28.25605500000006032 -12.79958299999992732),ZM201800000119,ZM,2018,119,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-12.799583,28.256055,865,1178,WGS84,40,450.9648534,7.149358565
Point (25.2832140000000436 -13.6376709999999548),ZM201800000120,ZM,2018,120,ZM,8,North Western,8,North Western,GAZ,R,-13.637671,25.283214,9999,1175,WGS84,0,582.5287538,153.6351013
Point (31.44457500000004302 -14.21062499999993634),ZM201800000121,ZM,2018,121,ZM,3,Eastern,3,Eastern,GPS,R,-14.210625,31.444575,961,967,WGS84,0,539.7640177,225.4514871
Point (28.14312700000004952 -15.77410499999996318),ZM201800000122,ZM,2018,122,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.774105,28.143127,9999,984,WGS84,8,484.0468437,3.913006214
Point (25.04462000000006583 -13.1547989999999686),ZM201800000123,ZM,2018,123,ZM,8,North Western,8,North Western,GPS,U,-13.154799,25.04462,9999,1199,WGS84,0,600.5307291,103.6933183
Point (30.14359600000005912 -13.59706199999993714),ZM201800000124,ZM,2018,124,ZM,1,Central,1,Central,GPS,R,-13.597062,30.143596,1435,1382,WGS84,0,489.5617469,76.20201684
Point (30.10237100000006194 -10.9577919999999267),ZM201800000125,ZM,2018,125,ZM,7,Northern,7,Northern,GPS,R,-10.957792,30.102371,1151,1176,WGS84,0,589.5007504,116.9038868
Point (33.17775000000006003 -12.28665399999994179),ZM201800000126,ZM,2018,126,ZM,3,Eastern,3,Eastern,GPS,U,-12.286654,33.17775,1139,1130,WGS84,2,690.3049941,44.91995725
Point (32.74576400000006515 -13.82908099999997376),ZM201800000127,ZM,2018,127,ZM,3,Eastern,3,Eastern,GPS,R,-13.829081,32.745764,1206,1205,WGS84,0,619.9048322,133.1449797
Point (31.11426400000004833 -14.48224299999992581),ZM201800000128,ZM,2018,128,ZM,3,Eastern,3,Eastern,GPS,R,-14.482243,31.114264,977,989,WGS84,0,521.7449983,203.3834532
Point (24.28429300000004787 -17.46030599999994593),ZM201800000129,ZM,2018,129,ZM,10,Western,10,Western,GPS,U,-17.460306,24.284293,961,988,WGS84,0,743.1931445,248.3486328
Point (28.64833700000002636 -14.96028399999994463),ZM201800000130,ZM,2018,130,ZM,1,Central,1,Central,GPS,R,-14.960284,28.648337,1132,1141,WGS84,0,463.5461546,60.18510736
Point (28.25564600000006976 -15.44734099999993759),ZM201800000131,ZM,2018,131,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.447341,28.255646,9999,1276,WGS84,5,474.9701649,11.14185599
Point (29.48746600000004037 -15.06907699999993611),ZM201800000132,ZM,2018,132,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.069077,29.487466,840,844,WGS84,0,471.1009314,130.5633853
